invariantType;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
daikon.inv.binary.twoScalar.NumericInt$Divides;GPT-3.5;0;61;7;0;68;0.8970588235294118;0.0;NaN;0.0
daikon.inv.binary.twoScalar.IntGreaterEqual;GPT-3.5;9;130;12;9;160;0.86875;0.42857142857142855;0.5;0.46153846153846156
daikon.inv.unary.stringsequence.SequenceFixedLengthString;GPT-3.5;2;1;0;4;7;0.42857142857142855;1.0;0.3333333333333333;0.5
daikon.inv.binary.twoScalar.IntLessEqual;GPT-3.5;0;57;6;2;65;0.8769230769230769;0.0;0.0;0.0
daikon.inv.unary.string.dates.IsDateYYYYMMDD;GPT-3.5;0;0;0;4;4;0.0;NaN;0.0;0.0
daikon.inv.unary.string.IsUrl;GPT-3.5;31;0;0;119;150;0.20666666666666667;1.0;0.20666666666666667;0.3425414364640884
daikon.inv.binary.sequenceString.MemberString;GPT-3.5;4;87;7;3;101;0.900990099009901;0.36363636363636365;0.5714285714285714;0.4444444444444444
daikon.inv.binary.twoString.StdString$SubString;GPT-3.5;15;9;0;178;202;0.1188118811881188;1.0;0.07772020725388601;0.14423076923076922
daikon.inv.unary.string.FixedLengthString;GPT-3.5;7;12;0;96;115;0.16521739130434782;1.0;0.06796116504854369;0.12727272727272726
daikon.inv.binary.twoScalar.IntEqual;GPT-3.5;16;28;4;48;96;0.4583333333333333;0.8;0.25;0.38095238095238093
daikon.inv.binary.sequenceScalar.SeqIntEqual;GPT-3.5;0;0;0;1;1;0.0;NaN;0.0;0.0
daikon.inv.unary.scalar.NonZero;GPT-3.5;34;4;0;27;65;0.5846153846153846;1.0;0.5573770491803278;0.7157894736842105
daikon.inv.unary.stringsequence.SequenceStringElementsAreUrl;GPT-3.5;0;0;0;1;1;0.0;NaN;0.0;0.0
daikon.inv.unary.scalar.NonZeroFloat;GPT-4o-mini;0;6;0;0;6;1.0;NaN;NaN;NaN
daikon.inv.binary.twoScalar.FloatNonEqual;GPT-4o-mini;0;8;0;0;8;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.LowerBound;GPT-4o-mini;10;10;0;22;42;0.47619047619047616;1.0;0.3125;0.47619047619047616
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm;GPT-4o-mini;0;0;0;12;12;0.0;NaN;0.0;0.0
daikon.inv.binary.twoString.StringEqual;GPT-4o-mini;0;12;0;35;47;0.2553191489361702;NaN;0.0;0.0
daikon.inv.binary.twoScalar.IntNonEqual;GPT-4o-mini;1;148;0;1;150;0.9933333333333333;1.0;0.5;0.6666666666666666
daikon.inv.unary.sequence.EltNonZero;GPT-4o-mini;0;1;0;27;28;0.03571428571428571;NaN;0.0;0.0
daikon.inv.binary.twoScalar.FloatLessThan;GPT-4o-mini;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.OneOfFloat;GPT-4o-mini;0;2;0;1;3;0.6666666666666666;NaN;0.0;0.0
daikon.inv.binary.twoSequence.SuperSet;GPT-4o-mini;0;3;0;0;3;1.0;NaN;NaN;NaN
daikon.inv.binary.twoScalar.IntGreaterThan;GPT-4o-mini;0;133;0;18;151;0.8807947019867549;NaN;0.0;0.0
daikon.inv.unary.scalar.OneOfScalar;GPT-4o-mini;1;36;0;39;76;0.4868421052631579;1.0;0.025;0.04878048780487805
daikon.inv.binary.twoScalar.NumericInt$Square;GPT-4o-mini;0;2;0;0;2;1.0;NaN;NaN;NaN
daikon.inv.unary.string.OneOfString;GPT-4o-mini;12;33;0;33;78;0.5769230769230769;1.0;0.26666666666666666;0.42105263157894735
daikon.inv.unary.sequence.OneOfSequence;GPT-4o-mini;0;2;0;2;4;0.5;NaN;0.0;0.0
daikon.inv.unary.stringsequence.OneOfStringSequence;GPT-4o-mini;0;5;0;1;6;0.8333333333333334;NaN;0.0;0.0
daikon.inv.unary.string.IsNumeric;GPT-4o-mini;0;1;0;30;31;0.03225806451612903;NaN;0.0;0.0
daikon.inv.unary.stringsequence.EltOneOfString;GPT-4o-mini;0;4;0;1;5;0.8;NaN;0.0;0.0
daikon.inv.binary.twoScalar.IntLessThan;GPT-4o-mini;0;27;0;11;38;0.7105263157894737;NaN;0.0;0.0
daikon.inv.binary.twoScalar.FloatGreaterThan;GPT-4o-mini;0;1;0;0;1;1.0;NaN;NaN;NaN
daikon.inv.unary.scalar.LowerBoundFloat;GPT-4o-mini;1;0;1;1;3;0.3333333333333333;0.5;0.5;0.5
daikon.inv.binary.twoScalar.NumericInt$Divides;GPT-4o-mini;0;68;0;0;68;1.0;NaN;NaN;NaN
daikon.inv.binary.twoScalar.IntGreaterEqual;GPT-4o-mini;8;140;2;10;160;0.925;0.8;0.4444444444444444;0.5714285714285714
daikon.inv.unary.stringsequence.SequenceFixedLengthString;GPT-4o-mini;4;1;0;2;7;0.7142857142857143;1.0;0.6666666666666666;0.8
daikon.inv.binary.twoScalar.IntLessEqual;GPT-4o-mini;0;63;0;2;65;0.9692307692307692;NaN;0.0;0.0
daikon.inv.unary.string.dates.IsDateYYYYMMDD;GPT-4o-mini;0;0;0;4;4;0.0;NaN;0.0;0.0
daikon.inv.unary.string.IsUrl;GPT-4o-mini;2;0;0;148;150;0.013333333333333334;1.0;0.013333333333333334;0.02631578947368421
daikon.inv.binary.sequenceString.MemberString;GPT-4o-mini;0;94;0;7;101;0.9306930693069307;NaN;0.0;0.0
daikon.inv.binary.twoString.StdString$SubString;GPT-4o-mini;9;9;0;184;202;0.0891089108910891;1.0;0.046632124352331605;0.0891089108910891
daikon.inv.unary.string.FixedLengthString;GPT-4o-mini;12;11;1;91;115;0.2;0.9230769230769231;0.11650485436893204;0.20689655172413793
daikon.inv.binary.twoScalar.IntEqual;GPT-4o-mini;0;32;0;64;96;0.3333333333333333;NaN;0.0;0.0
daikon.inv.binary.sequenceScalar.SeqIntEqual;GPT-4o-mini;0;0;0;1;1;0.0;NaN;0.0;0.0
daikon.inv.unary.scalar.NonZero;GPT-4o-mini;9;4;0;52;65;0.2;1.0;0.14754098360655737;0.2571428571428571
daikon.inv.unary.stringsequence.SequenceStringElementsAreUrl;GPT-4o-mini;0;0;0;1;1;0.0;NaN;0.0;0.0
